SRR5291834_1.fastq	515_S515_L001_R1_001.fastq
SRR5291834_2.fastq	515_S515_L001_R2_001.fastq
SRR5291833_1.fastq	516_S516_L001_R1_001.fastq
SRR5291833_2.fastq	516_S516_L001_R2_001.fastq
SRR5291832_1.fastq	517_S517_L001_R1_001.fastq
SRR5291832_2.fastq	517_S517_L001_R2_001.fastq
SRR5291831_1.fastq	518_S518_L001_R1_001.fastq
SRR5291831_2.fastq	518_S518_L001_R2_001.fastq
SRR5291830_1.fastq	519_S519_L001_R1_001.fastq
SRR5291830_2.fastq	519_S519_L001_R2_001.fastq
SRR5291829_1.fastq	520_S520_L001_R1_001.fastq
SRR5291829_2.fastq	520_S520_L001_R2_001.fastq
SRR5291828_1.fastq	522_S522_L001_R1_001.fastq
SRR5291828_2.fastq	522_S522_L001_R2_001.fastq
SRR5291827_1.fastq	523_S523_L001_R1_001.fastq
SRR5291827_2.fastq	523_S523_L001_R2_001.fastq
SRR5291826_1.fastq	524_S524_L001_R1_001.fastq
SRR5291826_2.fastq	524_S524_L001_R2_001.fastq
SRR5291825_1.fastq	525_S525_L001_R1_001.fastq
SRR5291825_2.fastq	525_S525_L001_R2_001.fastq
SRR5291824_1.fastq	526_S526_L001_R1_001.fastq
SRR5291824_2.fastq	526_S526_L001_R2_001.fastq
SRR5291823_1.fastq	527_S527_L001_R1_001.fastq
SRR5291823_2.fastq	527_S527_L001_R2_001.fastq
SRR5291822_1.fastq	528_S528_L001_R1_001.fastq
SRR5291822_2.fastq	528_S528_L001_R2_001.fastq
SRR5291821_1.fastq	529_S529_L001_R1_001.fastq
SRR5291821_2.fastq	529_S529_L001_R2_001.fastq
SRR5291820_1.fastq	530_S530_L001_R1_001.fastq
SRR5291820_2.fastq	530_S530_L001_R2_001.fastq
SRR5291819_1.fastq	531_S531_L001_R1_001.fastq
SRR5291819_2.fastq	531_S531_L001_R2_001.fastq
SRR5291818_1.fastq	532_S532_L001_R1_001.fastq
SRR5291818_2.fastq	532_S532_L001_R2_001.fastq
SRR5291817_1.fastq	533_S533_L001_R1_001.fastq
SRR5291817_2.fastq	533_S533_L001_R2_001.fastq
SRR5291816_1.fastq	534_S534_L001_R1_001.fastq
SRR5291816_2.fastq	534_S534_L001_R2_001.fastq
SRR5291815_1.fastq	535_S535_L001_R1_001.fastq
SRR5291815_2.fastq	535_S535_L001_R2_001.fastq
