#SampleID	DNAPlate	Tube	AnimalID	Sex	Diet	Year	DMI_total_kg	days_fed	ADFI	gain_total	ADG	FE	perANS	perHHS	perARS	perSHS	perBMS	perBRS	perBNS	perSGS	perBVS	perCHS	perCAS	perGVS	perLMS	perMAS	perSAS	perSMS	perHH	perAN	perSM	perCH	perM2	perM3	perRS	perRO	Selected	Group
S508	2	124	133046	Steer	Finishing	2013	613.7	78	7.87	130.9	1.68	0.213	0	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	No	NA
S509	2	125	133433	Steer	Finishing	2013	667.8	78	8.56	162.6	2.08	0.243	0	0	0	0	0	0	0	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0.25	0	No	NA
S510	2	126	133096	Steer	Finishing	2013	719.3	78	9.22	119.8	1.54	0.167	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0.25	0	0	0	0	0	Yes	BWGL-DMIH
S511	2	127	133416	Steer	Finishing	2013	780.5	78	10.01	160.4	2.06	0.206	0.125	0	0	0	0	0	0.5	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0	No	NA
S512	2	128	133124	Steer	Finishing	2013	755.6	78	9.69	183.1	2.35	0.242	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0	0.375	0	0	0	0	0	Yes	BWGH-DMIH
S514	2	130	133035	Steer	Finishing	2013	880.2	78	11.28	176.7	2.27	0.201	0.9375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0625	0	0	0	0	0	0	No	NA
S515	2	131	133020	Steer	Finishing	2013	682.4	78	8.75	155.4	1.99	0.228	0	0	0	0	0	0	0	0	0	0	0.875	0	0	0	0	0	0	0	0	0	0	0.125	0	0	No	NA
S516	2	132	133415	Steer	Finishing	2013	770.6	78	9.88	174	2.23	0.226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	No	NA
S517	2	133	133383	Steer	Finishing	2013	711.8	78	9.13	159	2.04	0.223	0	0	0.5	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0.25	0	0	0	0	0	0	No	NA
S518	2	134	133337	Steer	Finishing	2013	697.6	78	8.94	177.2	2.27	0.254	0.5	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	Yes	BWGH-DMIL
